epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4025.59,2.51672,5.87801,0.58247,0.24922,0.14674,0.10365,0.06642,2.56037,7.34979,0.59071,0.0079559,0.0079559,0.0079559
43,4119.56,2.50273,5.8304,0.58571,0.26352,0.16313,0.11289,0.07138,2.55052,7.13228,0.58705,0.00790605,0.00790605,0.00790605
44,4213.63,2.48014,5.77046,0.57705,0.29115,0.14785,0.11229,0.07134,2.56447,7.13887,0.58735,0.00785619,0.00785619,0.00785619
45,4307.6,2.4657,5.62757,0.57231,0.26316,0.15215,0.10832,0.0701,2.53777,7.24848,0.58502,0.00780634,0.00780634,0.00780634
46,4401.2,2.44798,5.64495,0.57577,0.27833,0.15213,0.11518,0.0738,2.55428,7.22362,0.58581,0.00775648,0.00775648,0.00775648
47,4494.83,2.46855,5.56754,0.57369,0.29186,0.14013,0.11381,0.07419,2.5529,7.25856,0.58685,0.00770662,0.00770662,0.00770662
48,4588.83,2.44683,5.48725,0.56895,0.25337,0.16824,0.11821,0.0763,2.56191,7.1454,0.58737,0.00765677,0.00765677,0.00765677
49,4682.92,2.44033,5.46772,0.56736,0.31252,0.13968,0.1191,0.07666,2.53507,7.122,0.58283,0.00760691,0.00760691,0.00760691
50,4776.55,2.41359,5.30629,0.56458,0.2767,0.16489,0.12087,0.07773,2.53525,7.11976,0.58407,0.00755706,0.00755706,0.00755706
51,4870.98,2.42145,5.32851,0.56767,0.28158,0.16421,0.12503,0.081,2.54806,7.13437,0.58503,0.0075072,0.0075072,0.0075072
52,4965.09,2.39921,5.26987,0.56317,0.36544,0.1427,0.12484,0.08054,2.54365,7.16032,0.58238,0.00745734,0.00745734,0.00745734
53,5058.81,2.38537,5.20121,0.56025,0.29333,0.15636,0.12576,0.08163,2.53191,7.1166,0.58079,0.00740749,0.00740749,0.00740749
54,5152.17,2.40416,5.16608,0.56045,0.25339,0.17955,0.12888,0.08396,2.52387,7.13842,0.57815,0.00735763,0.00735763,0.00735763
55,5245.51,2.37481,5.13328,0.55388,0.32629,0.1491,0.13035,0.08452,2.51797,7.03177,0.57598,0.00730778,0.00730778,0.00730778
56,5339.85,2.36831,5.00054,0.55486,0.27765,0.1698,0.13204,0.08493,2.50258,7.11547,0.57474,0.00725792,0.00725792,0.00725792
57,5433.67,2.37255,4.95815,0.55599,0.32059,0.15499,0.13781,0.09064,2.49245,7.07983,0.57582,0.00720806,0.00720806,0.00720806
58,5528.27,2.35835,4.99174,0.55241,0.32046,0.16638,0.13733,0.09039,2.51889,7.12941,0.57625,0.00715821,0.00715821,0.00715821
59,5622.06,2.32018,4.85774,0.54928,0.2779,0.1708,0.1368,0.09062,2.5106,7.04166,0.57596,0.00710835,0.00710835,0.00710835
60,5716.2,2.35446,4.87871,0.55228,0.29913,0.16451,0.14002,0.09255,2.49166,6.97613,0.57245,0.0070585,0.0070585,0.0070585
