epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.827,2.36692,11.0106,0.50818,0.08891,0.13031,0.05589,0.04058,1.82876,8.46078,0.40066,0.00332203,0.00332203,0.00332203
2,307.354,2.14155,7.59176,0.45737,0.35728,0.1675,0.11459,0.08286,1.75016,7.14521,0.38489,0.00662219,0.00662219,0.00662219
3,437.892,2.08992,6.85822,0.44402,0.19589,0.19062,0.09867,0.06973,1.88056,7.67506,0.3992,0.0098891,0.0098891,0.0098891
