epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.436,2.38215,11.3849,0.51268,0.1334,0.12471,0.05106,0.03743,1.79979,8.62697,0.40576,0.00332203,0.00332203,0.00332203
2,298.648,2.13116,7.74777,0.46752,0.29365,0.1842,0.10432,0.07723,1.76347,7.14722,0.39518,0.00662219,0.00662219,0.00662219
3,419.971,2.08119,6.93679,0.44945,0.26978,0.18109,0.13101,0.09713,1.79979,6.74063,0.39575,0.0098891,0.0098891,0.0098891
4,541.229,2.07924,6.43535,0.44356,0.29633,0.20285,0.14511,0.10541,1.80451,6.56583,0.39294,0.00985043,0.00985043,0.00985043
5,700.868,2.04571,5.89307,0.43705,0.32571,0.17896,0.15683,0.11549,1.80301,6.21156,0.39744,0.00980058,0.00980058,0.00980058
6,839.495,1.97659,5.42532,0.428,0.29022,0.21497,0.14826,0.10827,1.87291,6.50143,0.40338,0.00975072,0.00975072,0.00975072
7,960.854,1.93805,5.07702,0.42356,0.32872,0.2347,0.19171,0.13944,1.80755,5.78868,0.39376,0.00970086,0.00970086,0.00970086
