epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3680.58,1.84784,3.47241,0.40117,0.48876,0.24096,0.24906,0.18469,1.88575,6.14816,0.40015,0.0079559,0.0079559,0.0079559
43,3764.34,1.84596,3.39906,0.40115,0.46918,0.24677,0.25359,0.18904,1.85267,6.10197,0.39481,0.00790605,0.00790605,0.00790605
44,3847.83,1.83143,3.3254,0.39922,0.49607,0.24607,0.25304,0.18582,1.87847,6.19807,0.39825,0.00785619,0.00785619,0.00785619
45,3931.37,1.80479,3.25712,0.39687,0.53934,0.23602,0.25615,0.18948,1.87006,6.11415,0.39635,0.00780634,0.00780634,0.00780634
46,4014.74,1.79048,3.27122,0.39566,0.42916,0.26965,0.26375,0.19286,1.87145,6.05395,0.39619,0.00775648,0.00775648,0.00775648
47,4097.98,1.81478,3.2888,0.39739,0.52775,0.25971,0.26925,0.19812,1.87368,5.95649,0.39409,0.00770662,0.00770662,0.00770662
48,4181.77,1.82317,3.24739,0.39737,0.47995,0.25639,0.25707,0.18962,1.87184,6.0764,0.39565,0.00765677,0.00765677,0.00765677
49,4264.85,1.79972,3.14182,0.39605,0.53156,0.2556,0.2645,0.19486,1.87462,6.05481,0.39582,0.00760691,0.00760691,0.00760691
50,4348.33,1.78745,3.10922,0.39379,0.5333,0.25436,0.26454,0.19423,1.86384,6.06197,0.39197,0.00755706,0.00755706,0.00755706
51,4432.14,1.78033,3.07164,0.39459,0.52839,0.2677,0.2671,0.19671,1.86766,5.95981,0.39518,0.0075072,0.0075072,0.0075072
52,4515.36,1.77093,3.02531,0.39286,0.57711,0.2589,0.2745,0.2028,1.84194,5.9649,0.39211,0.00745734,0.00745734,0.00745734
53,4598.78,1.75891,3.02213,0.39085,0.49894,0.26383,0.26326,0.194,1.87499,6.06058,0.39592,0.00740749,0.00740749,0.00740749
54,4682.94,1.77455,3.0276,0.39185,0.51226,0.26454,0.27098,0.20021,1.85017,5.96617,0.39383,0.00735763,0.00735763,0.00735763
