epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5537.03,1.47704,1.96129,0.36541,0.55811,0.29431,0.30211,0.22617,1.74548,5.65283,0.38789,0.0079559,0.0079559,0.0079559
43,5659.53,1.4666,1.94027,0.36375,0.597,0.27844,0.29825,0.22465,1.72696,5.58492,0.38497,0.00790605,0.00790605,0.00790605
44,5781.62,1.4537,1.88104,0.36195,0.51917,0.29596,0.29882,0.227,1.74057,5.52787,0.38512,0.00785619,0.00785619,0.00785619
45,5903.28,1.43484,1.86127,0.35983,0.59109,0.28598,0.29995,0.22634,1.72898,5.59458,0.3846,0.00780634,0.00780634,0.00780634
46,6025.47,1.42167,1.8777,0.36047,0.58219,0.28691,0.29927,0.2235,1.75438,5.68195,0.38911,0.00775648,0.00775648,0.00775648
47,6147.69,1.43652,1.85623,0.36006,0.55286,0.29133,0.30889,0.23165,1.75316,5.70868,0.38739,0.00770662,0.00770662,0.00770662
48,6269.81,1.44237,1.86238,0.36143,0.56801,0.29243,0.30731,0.2305,1.74684,5.74707,0.38876,0.00765677,0.00765677,0.00765677
49,6391.68,1.42393,1.82266,0.3591,0.56734,0.29677,0.31149,0.23301,1.75581,5.76472,0.38777,0.00760691,0.00760691,0.00760691
50,6513.8,1.40792,1.80598,0.35731,0.57523,0.28947,0.30582,0.22759,1.7536,5.81629,0.38754,0.00755706,0.00755706,0.00755706
51,6636.1,1.39845,1.78944,0.35861,0.52135,0.29916,0.30895,0.23472,1.73979,5.71842,0.38658,0.0075072,0.0075072,0.0075072
52,6757.77,1.39739,1.77292,0.35678,0.58391,0.29115,0.31207,0.23534,1.72615,5.72073,0.38423,0.00745734,0.00745734,0.00745734
53,6879.93,1.38944,1.74448,0.35618,0.57349,0.29813,0.31049,0.23149,1.7537,5.75042,0.38881,0.00740749,0.00740749,0.00740749
54,7001.62,1.39725,1.75298,0.3553,0.58268,0.29107,0.30618,0.23131,1.74107,5.78527,0.38982,0.00735763,0.00735763,0.00735763
