epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.147,3.89444,5.51289,4.05656,0.33722,0.00624,0.00106,0.00032,3.31359,6.06771,3.58249,0.000151149,0.000151149,0.000151149
2,634.242,3.27876,4.85931,3.32056,0.29016,0.01837,0.00602,0.00165,2.92488,4.94225,2.88317,0.00029682,0.00029682,0.00029682
3,795.621,2.8635,4.29328,2.7587,0.25058,0.02352,0.00965,0.0039,2.54744,4.27584,2.42785,0.000436485,0.000436485,0.000436485
4,961.761,2.62451,3.98906,2.46762,0.37013,0.02153,0.01217,0.00581,2.39662,4.02208,2.31921,0.000427973,0.000427973,0.000427973
5,1125.94,2.48507,3.8798,2.30252,0.26273,0.03103,0.01388,0.00647,2.26216,3.83478,2.10341,0.000418964,0.000418964,0.000418964
6,1289.43,2.36287,3.76112,2.18232,0.26606,0.03798,0.01718,0.00885,2.09293,3.65826,1.97293,0.000409955,0.000409955,0.000409955
7,1466.59,2.26489,3.65502,2.08016,0.27045,0.05589,0.01877,0.00954,2.04243,3.64051,1.91916,0.000400946,0.000400946,0.000400946
8,1635.35,2.20956,3.58272,2.01817,0.26408,0.05308,0.02089,0.01126,1.99358,3.56052,1.84933,0.000391937,0.000391937,0.000391937
9,1813.72,2.17495,3.51906,1.97976,0.26435,0.04288,0.0218,0.01178,1.9217,3.43211,1.80379,0.000382928,0.000382928,0.000382928
10,1983.04,2.11791,3.48606,1.9363,0.28193,0.07385,0.02346,0.01286,1.90235,3.43557,1.77527,0.000373919,0.000373919,0.000373919
11,2182.84,2.09443,3.44958,1.90723,0.26757,0.05542,0.02399,0.0133,1.86652,3.34806,1.73747,0.00036491,0.00036491,0.00036491
12,2364.58,2.04923,3.38649,1.86108,0.26522,0.05968,0.02392,0.01294,1.84473,3.28293,1.69879,0.000355901,0.000355901,0.000355901
13,2529.57,2.03806,3.37591,1.84541,0.27047,0.049,0.02626,0.01502,1.80481,3.2828,1.66543,0.000346892,0.000346892,0.000346892
14,2721.88,2.01735,3.35892,1.83292,0.27019,0.07822,0.02616,0.0147,1.80049,3.31848,1.65019,0.000337883,0.000337883,0.000337883
15,2894.59,2.01197,3.3234,1.80925,0.27845,0.06876,0.02777,0.01598,1.75078,3.2044,1.62202,0.000328874,0.000328874,0.000328874
16,3111.85,1.98334,3.30294,1.79164,0.23982,0.06869,0.02976,0.01713,1.75315,3.17852,1.62725,0.000319865,0.000319865,0.000319865
17,3298.75,1.98098,3.28825,1.78349,0.2298,0.08796,0.03273,0.01921,1.71692,3.18279,1.60053,0.000310856,0.000310856,0.000310856
18,3467.59,1.96315,3.2745,1.75718,0.21547,0.08748,0.02981,0.01735,1.70976,3.19881,1.57175,0.000301847,0.000301847,0.000301847
19,3641.64,1.91886,3.21867,1.72316,0.2209,0.07374,0.03275,0.01929,1.70822,3.14082,1.5793,0.000292838,0.000292838,0.000292838
20,3840.88,1.93383,3.24098,1.74167,0.2277,0.09675,0.03303,0.01923,1.69995,3.12264,1.55465,0.000283829,0.000283829,0.000283829
21,4008.61,1.92365,3.2292,1.72506,0.22132,0.08104,0.03266,0.01938,1.67475,3.09453,1.54777,0.00027482,0.00027482,0.00027482
22,5345.16,1.92363,3.20223,1.72655,0.22234,0.07883,0.0337,0.01998,1.67722,3.08974,1.53484,0.000265811,0.000265811,0.000265811
